Customer,Product,Amount,Date
John Smith,Laptop,899.99,01/05/2026
Emily Davis,Wireless Mouse,24.50,01/05/2026
John Smith,Keyboard,59.90,01/07/2026
Michael Brown,Monitor,289.00,01/10/2026
Sarah Wilson,Headphones,79.90,01/12/2026
Emily Davis,Webcam,45.00,01/15/2026
David Miller,Laptop,1049.00,01/18/2026
John Smith,Monitor,269.00,01/20/2026
Michael Brown,Keyboard,54.00,01/22/2026
Sarah Wilson,Laptop,799.00,01/25/2026
David Miller,Wireless Mouse,21.90,01/28/2026
Emily Davis,Laptop,929.00,01/30/2026
John Smith,Headphones,89.90,02/02/2026
Michael Brown,Webcam,49.00,02/05/2026
Sarah Wilson,Keyboard,62.90,02/08/2026
David Miller,Monitor,319.00,02/10/2026
Emily Davis,Headphones,84.90,02/12/2026
Michael Brown,Laptop,899.00,02/15/2026
Sarah Wilson,Wireless Mouse,26.90,02/18/2026
John Smith,Webcam,47.00,02/20/2026
